name,company,workarea,salary,requirements,company_type,company_size
数据分析师,北京中天孔明科技股份有限公司,北京,,['本科'],民营公司,
数据分析与测试工程师,江苏智臻能源科技有限公司,南京-江宁区,1-1.2万/月,"['1年经验', '本科']",民营公司,50-150人
数据分析师,武汉美之修行信息科技有限公司,武汉,0.8-1万/月,"['在校生/应届生', '本科']",政府机关,
数据分析开发工程师,上海禾赛光电科技有限公司,上海,2-2.5万/月,['本科'],外资（非欧美）,
数据分析专员（人力方向）,爱慕股份有限公司,北京,,['本科'],民营公司,
数据分析专员（应届硕士解决北京户口）,北京华奥汽车服务股份有限公司,北京,0.8-1万/月,"['在校生/应届生', '硕士']",民营公司,
数据分析员,蚌埠君客电子商务有限公司,蚌埠,4-5.5千/月,"['1年经验', '大专']",民营公司,150-500人
数据分析员,武汉巧厨商务咨询有限公司,武汉,,['大专'],政府机关,
数据分析实习生（2021届）,上海中企人力资源咨询有限公司,上海-长宁区,150元/天,"['在校生/应届生', '本科']",合资,50-150人
数据分析专员（韩语）,菲诗小铺（上海）化妆品销售有限公司,上海-徐汇区,,"['无需经验', '大专']",外资（非欧美）,150-500人
金融数据分析助理（双休+晋升）,广东兆丰恒业控股集团有限公司,广州-天河区,0.5-1万/月,"['无需经验', '中专']",民营公司,150-500人
数据分析工程师 双休 五险一金,湖南银杏数据科技有限公司,长沙-长沙县,0.5-1万/月,"['3-4年经验', '本科']",民营公司,50-150人
数据分析师,震兑工业智能科技有限公司,深圳-福田区,1.3-2万/月,"['3-4年经验', '本科']",合资,50-150人
数据分析专员,宁波诺丁汉大学,宁波,1-1.5万/月,['本科'],事业单位,
数据分析师（金融科技领域）,中移（上海）信息通信科技有限公司,上海-浦东新区,,"['3-4年经验', '硕士']",国企,10000人以上
大数据分析师,长春启配信息技术服务有限公司,长春-高新技术产业开发区,15-25万/年,"['5-7年经验', '本科']",民营公司,
业务管理与数据分析（上海共联通信信息发展有限公司）,中国通信服务股份有限公司,上海,,['本科'],国企,
数据分析师-营销拓展中心,号百控股股份有限公司,上海,,['硕士'],国企,
数据分析工程师,安徽志达丰和信息工程有限公司,合肥-包河区,4-6千/月,"['在校生/应届生', '大专']",民营公司,150-500人
数据分析工程师,系统集成有限责任公司,北京,,['本科'],国企,
SC02 数据分析工程师（深圳）,深圳迈瑞生物医疗电子股份有限公司,深圳,,['硕士'],合资,
数据分析运营经理,招联消费金融有限公司,深圳-南山区,30-40万/年,"['3-4年经验', '本科']",合资,500-1000人
数据分析师,昆明信飞科技有限公司,昆明,1.1-1.5万/月,"['3-4年经验', '本科']",民营公司,少于50人
销售数据分析员,广州澎尼科技有限公司,广州,5-8千/月,"['1年经验', '大专']",民营公司,150-500人
